ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B0CFGB45S2,https://www.amazon.in/dp/B0CFGB45S2?th=1&psc=1&language=en_IN,"Wirescorts Angle Geometric Plastic Blocks, Sorting & Stacking Toys for Toddlers and Kids Preschool, Color Stacker Shape Sorter Gift Educational Learning Toy for 1 2 3 Years Boys and Girls, Multicolor",165,"M.R.P.:
₹699",-76%,4.1 out of 5,Toys & Games
B0C8FXF89K,https://www.amazon.in/dp/B0C8FXF89K?th=1&psc=1&language=en_IN,"Niku Skin Friendly Ultra Soft 3 Feet Teddy Bear for Kids, Lovable Huggable Cute Soft Giant Teddy Bear for Girlfriends/Wife/Kids/Husband - (Pink, 85 cm)",368,"M.R.P.:
₹999",-63%,3.7 out of 5,Toys & Games
B0CQ2RNJ73,https://www.amazon.in/dp/B0CQ2RNJ73?th=1&psc=1&language=en_IN,Toy Imagine Gyro Magic Lattoo Toys with Music and Lights Spinning Top Toy for Kids Boy Colourful Spinner Fidget Sound Tops Best Birthday Gift for Baby khilona Age 3+ Years Old Pack of 1,162,"M.R.P.:
₹199",-19%,3.2 out of 5,Toys & Games
B0CBNR2ML6,https://www.amazon.in/dp/B0CBNR2ML6?th=1&psc=1&language=en_IN,"Mattel Games UNO Show ‘em No Mercy Card Game for Kids, Adults & Family Parties and Travel with Extra Cards, Special Rules and Tougher Penalties.",239,"M.R.P.:
₹299",-20%,4.5 out of 5,Toys & Games
B0DZVQVMSC,https://www.amazon.in/dp/B0DZVQVMSC?th=1&psc=1&language=en_IN,"RMP Carrom Board for Kids 20 inches Glossy Finish with Carrom Board Coins, Striker and Magic boric Powder.",749,"M.R.P.:
₹3,499",-79%,N/A,Toys & Games
B0B8215MS5,https://www.amazon.in/dp/B0B8215MS5?th=1&psc=1&language=en_IN,"FINEMOE Canvas Large Capacity Pencil Box For Girls & Boys, 3 Compartments Pen & Pencil Pouches, Aesthetic Stationery Pouch For School Kids College Students, Cute Stationary Gift For Children (Pink)",395,"M.R.P.:
₹1,499",-74%,3.8 out of 5,Toys & Games
B000OV0X48,https://www.amazon.in/dp/B000OV0X48?th=1&psc=1&language=en_IN,"Intex Inflatable Rectangular Pool, Multi Color",979,"M.R.P.:
₹1,399",-30%,4.2 out of 5,Toys & Games
B0BNBBY3V3,https://www.amazon.in/dp/B0BNBBY3V3?th=1&psc=1&language=en_IN,"Kiddie Galaxia® Space Theme Pencil Box for Kids,Pencil Box for Kids Boys & Girls,Space Theme Return Gifts for Kid (with Accessories)",298,"M.R.P.:
₹1,999",-85%,4 out of 5,Toys & Games
B0DG35RR1Q,https://www.amazon.in/dp/B0DG35RR1Q?th=1&psc=1&language=en_IN,"IZI Spectra Remote controlled Drone with Camera 4K HDR Cinematic, 1"" CMOS sensor,102 Min Flight, 22KMs Video transmission, 3-Axis Gimbal, GPS drone, Omni obstacle sensor,1 key RTH, 2 Batteries","99,999","M.R.P.:
₹6,99,990",-86%,3.9 out of 5,Toys & Games
B0CMQFJ7MS,https://www.amazon.in/dp/B0CMQFJ7MS?th=1&psc=1&language=en_IN,bnf® Drone Carrying Case Travel Case for D.J.I Mini 3 Pro Drone Red,"2,270","M.R.P.:
₹4,869",-53%,N/A,Home & Kitchen
B0DHY8HHVS,https://www.amazon.in/dp/B0DHY8HHVS?th=1&psc=1&language=en_IN,Gurukrupa International Colorfull and Light Weight Kids Play Tent House for 3 to 10 Years Old Kids Girls and Boys (05 Crane 0005),"1,199","M.R.P.:
₹2,499",-52%,3.3 out of 5,Toys & Games
