ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B08TC2YPDM,https://www.amazon.in/dp/B08TC2YPDM?th=1&psc=1&language=en_IN,SAI MUSICALS 20 to 21 Inches Naal Dholki (Wood),"2,446","M.R.P.:
₹4,000",-39%,3.1 out of 5,Musical Instruments
B09Q2ZZGH2,https://www.amazon.in/dp/B09Q2ZZGH2?th=1&psc=1&language=en_IN,"FIFINE USB Gaming Microphone Kit, Plug & Play for PC, PS4/5, 192 kHZ Condenser Cardioid Microphone Set with Mute Button, Volume Gain, RGB, Arm Stand, for Streaming, Discord, Twitch, Video, Youtube-A6T","3,290","M.R.P.:
₹4,990",-34%,4.3 out of 5,Musical Instruments
B0B8DMF47G,https://www.amazon.in/dp/B0B8DMF47G?th=1&psc=1&language=en_IN,"Digitek (DWM-002 Wireless Microphone for iPhone with Noise Cancellation, Collar Clip & Crystal-Clear Audio for Vlogs, YouTube, Interview & Live Streaming",999,"M.R.P.:
₹2,495",-60%,3.4 out of 5,Musical Instruments
B019EACGSU,https://www.amazon.in/dp/B019EACGSU?th=1&psc=1&language=en_IN,"AKG K52 Closed Back Wired Headphones,Over Ear Wired,Black","2,649","M.R.P.:
₹5,401",-51%,4.2 out of 5,Electronics
B017NPCSLI,https://www.amazon.in/dp/B017NPCSLI?th=1&psc=1&language=en_IN,"Juârez Acoustic Guitar Kit, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,179","M.R.P.:
₹6,990",-69%,4 out of 5,Musical Instruments
B087S28ZRM,https://www.amazon.in/dp/B087S28ZRM?th=1&psc=1&language=en_IN,"Numark Mixtrack Pro Dj Controller, Black","23,299","M.R.P.:
₹27,438",-15%,4.4 out of 5,Musical Instruments
B08PZ3Q7SH,https://www.amazon.in/dp/B08PZ3Q7SH?th=1&psc=1&language=en_IN,SAI MUSICAL Tabla bag,N/A,N/A,N/A,4.5 out of 5,Musical Instruments
B0DQPS8TNP,https://www.amazon.in/dp/B0DQPS8TNP?th=1&psc=1&language=en_IN,"SOLANKIZZZ Fully Automatic Electric Mini Aarti Machine with Nagara, 2 Bells & Jalar For Home Temple, Satsang Or Pooja Room (Basic Arti)","5,999","M.R.P.:
₹11,000",-45%,4.2 out of 5,Musical Instruments
B07SQC9JMG,https://www.amazon.in/dp/B07SQC9JMG?th=1&psc=1&language=en_IN,"Clapbox Adjustable Snare Cajon CB50- Oak Wood, (H:50 W:30 L:30) - 3 Internal Snares","4,498","M.R.P.:
₹14,500",-69%,4.3 out of 5,Musical Instruments
B07HL5RYG4,https://www.amazon.in/dp/B07HL5RYG4?th=1&psc=1&language=en_IN,"UAPAN MetalCraft Ghungroo Red Pad 2 Line, Ghungru 2 Line Red Pad, Red Pad Ghungroo 2 Line",272,"M.R.P.:
₹549",-50%,4.2 out of 5,"Sports, Fitness & Outdoors"
B08FCJLTD2,https://www.amazon.in/dp/B08FCJLTD2?th=1&psc=1&language=en_IN,Hertz HZA-3600 Mahogany Acoustic Guitar- Natural,"8,300","M.R.P.:
₹8,480",-2%,4.5 out of 5,Musical Instruments
B072F5J32C,https://www.amazon.in/dp/B072F5J32C?th=1&psc=1&language=en_IN,Lewitt LCT-240 Pro Cardioid Condenser Microphone for Professional Recording (Black),"9,741","M.R.P.:
₹11,490",-15%,4.5 out of 5,Musical Instruments
B09ZV35B24,https://www.amazon.in/dp/B09ZV35B24?th=1&psc=1&language=en_IN,"Cezo BM 800 Condenser Microphone Kit Set with V8 Sound Card, Boom Arm Stand, Pop Shield Recording Studio Equipment Full Set with 3.5mm Mic for Smartphones Live Streaming Youtubers - Black","2,999","M.R.P.:
₹4,999",-40%,4 out of 5,Musical Instruments
B00PLNMQSK,https://www.amazon.in/dp/B00PLNMQSK?th=1&psc=1&language=en_IN,Punam Flutes C Natural Medium Right Hand Bansuri Size 19.5 inches,"2,299","M.R.P.:
₹3,449",-33%,4.4 out of 5,Musical Instruments
