product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,valid_discount
Havells Gatik Neo 400mm Pedestal Fan (Aqua Blue),"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",2399,4200,43%,3.8,397,-1801
Wipro Vesta 1200 Watt GD201 Lightweight Automatic Dry Iron| Quick Heat Up| Stylish & Sleek |Anti bacterial German Weilburger Double Coated Soleplate |2 Years Warranty,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",660,1100,40%,3.6,91,-440
"INALSA Vaccum Cleaner Handheld 800W High Powerful Motor- Dura Clean with HEPA Filtration & Strong Powerful 16KPA Suction| Lightweight, Compact & Durable Body|Includes Multiple Accessories,(Grey/Black)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",1799,3295,45%,3.8,687,-1496
"Milk Frother, Immersion Blender Cordlesss Foam Maker USB Rechargeable Small Mixer Handheld with 2 Stainless Whisks，Wisker for Stirring 3-Speed Adjustable Mini Frother for Cappuccino Latte Coffee Egg",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,375,999,62%,3.6,1988,-624
"Longway Blaze 2 Rod Quartz Room Heater (White, Gray, 800 watts)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",929,2199,58%,3.7,4,-1270
"Prestige PWG 07 Wet Grinder, 2L (Multicolor) with Coconut Scraper and Atta Kneader Attachments, 200 Watt",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,3710,4330,14%,3.7,1662,-620
SaleOn Instant Coal Heater 500W Charcoal Burner Electric Stove Hot Plate - Mix Colors - Pack of 1 - Only Charcoal Heater,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,697,1499,54%,3.8,144,-802
ESN 999 Supreme Quality 1500W Immersion Water Heater Rod (Black),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",335,510,34%,3.8,3195,-175
"ZIGMA WinoteK WinoteK Sun Instant Water Geyser, Water Heater, Portable Water Heater, Geysers Made of First Class ABS Plastic, automatic Reset Model, AE10-3 W (Yellow)","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",1190,2550,53%,3.8,1181,-1360
Lifelong LLMG74 750 Watt Mixer Grinder with 3 Jars (White and Grey),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1799,3299,45%,3.8,1846,-1500
VAPJA® Portable Mini Juicer Cup Blender USB Rechargeable with 4 Blades for Shakes and Smoothies Fruits Vegetables Juice Maker Grinder Mixer Strong Cutting Bottle Sports Travel Outdoors Gym (BOTTLE),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,649,999,35%,3.6,4,-350
"Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag, Size 36 x 36 x 58, Capicity 30 Ltr (Pink)",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,199,399,50%,3.7,7945,-200
Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,3349,4799,30%,3.7,4200,-1450
Wolpin 1 Lint Roller with 60 Sheets Remove Clothes Lint Dog Hair Dust (19 x 13 cm) Orange,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",179,799,78%,3.6,101,-620
"PrettyKrafts Laundry Square Shape Basket Bag/Foldable/Multipurpose/Carry Handles/Slanting Lid for Home, Cloth Storage,(Single) Jute Grey",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,390,799,51%,3.8,287,-409
Activa Easy Mix Nutri Mixer Grinder 500 Watt | Long Lasting Shock Proof ABS Body | Heavy Duty Motor With Nano - Grinding Technology,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1199,2990,60%,3.8,133,-1791
"Wipro Vesta 1380W Cordless Steam Iron Quick heat up with 20gm/ min Steam Burst, Scratch resistant Ceramic soleplate ,Vertical and Horizontal Ironing, Steam burst of upto .8g/ shot","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1799,2599,31%,3.6,771,-800
"Larrito wooden Cool Mist Humidifiers Essential Oil Diffuser Aroma Air Humidifier with Colorful Change for Car, Office, Babies, humidifiers for home, air humidifier for room (WOODEN HUMIDIFIRE-A)","Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",499,799,38%,3.6,212,-300
"IKEA Milk Frother for Your Milk, Coffee,(Cold and hot Drinks), Black","Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",229,399,43%,3.6,451,-170
Usha Hc 812 T Thermo Fan Room Heater,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",2320,3290,29%,3.8,195,-970
"Libra Room Heater for Home, Room Heaters Home for Winter, Electric Heater with 2000 Watts Power as per IS Specification for Small to Medium Rooms - FH12 (Grey)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",949,2299,59%,3.6,550,-1350
"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2219,3080,28%,3.6,468,-861
