ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B09LRZYBH1,https://www.amazon.in/dp/B09LRZYBH1?th=1&psc=1&language=en_IN,"Krisons Thunder Speaker, Multimedia Home Theatre, Floor Standing Speaker, LED Display with Bluetooth, FM, USB, Micro SD Card, AUX Connectivity",,3,40,4,Electronics
B09VH568H7,https://www.amazon.in/dp/B09VH568H7?th=1&psc=1&language=en_IN,"Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable for Smartphone - 1 Meter, White",,,,4,Computers & Accessories
B08TZD7FQN,https://www.amazon.in/dp/B08TZD7FQN?th=1&psc=1&language=en_IN,"astigo Remote Compatible for Mi tv Remote 4A (43""/32"") Black",301,899,67,4,Electronics
B0941392C8,https://www.amazon.in/dp/B0941392C8?th=1&psc=1&language=en_IN,"Lava Charging Adapter Elements D3 2A Fast Charging Speed Usb Type C Data Cable, White",,,,4,Computers & Accessories
B08BG4M4N7,https://www.amazon.in/dp/B08BG4M4N7?th=1&psc=1&language=en_IN,"LUNAGARIYA®, Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Selling Purpose)",,,,4,Electronics
B08PKBMJKS,https://www.amazon.in/dp/B08PKBMJKS?th=1&psc=1&language=en_IN,"Airtel DigitalTV HD SETUP BOX REMOTE for TV,BLACK",,,,4,Electronics
B08ZN4B121,https://www.amazon.in/dp/B08ZN4B121?th=1&psc=1&language=en_IN,"WeCool Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",399,1,75,4,Electronics
B08D75R3Z1,https://www.amazon.in/dp/B08D75R3Z1?th=1&psc=1&language=en_IN,"pTron Boom Ultima 4D Dual Driver, in Ear Gaming Wired Headphones with in-Line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",299,1,84,4,Electronics
B092JHPL72,https://www.amazon.in/dp/B092JHPL72?th=1&psc=1&language=en_IN,"SWAPKART Flexible Mobile Tabletop Stand, Metal Built, Heavy Duty Foldable Lazy Bracket Clip Mount Multi Angle Clamp for All Smartphones (Pack of 1), Multi Color",251,1,87,4,Electronics
B08K4PSZ3V,https://www.amazon.in/dp/B08K4PSZ3V?th=1&psc=1&language=en_IN,"Tukzer Universal Stylus Pen for Smartphone/Tablet/iPad/Pro/Air/iPhone/iOS/Android/All Touch Screens Devices| Fine Point Disc Tip, Lightweight Aluminum Body Magnetic Cap Drawing Writing (Grey)",259,999,74,4,Electronics
B08K4RDQ71,https://www.amazon.in/dp/B08K4RDQ71?th=1&psc=1&language=en_IN,"Tukzer Universal Stylus Pen for Smartphone/Tablet/iPad/Pro/Air/iPhone/iOS/Android/All Touch Screens Devices| Fine Point Disc Tip, Lightweight Aluminum Body Magnetic Cap Drawing Writing (White)",259,999,74,4,Electronics
B0B3DV7S9B,https://www.amazon.in/dp/B0B3DV7S9B?th=1&psc=1&language=en_IN,"EN LIGNE Adjustable Tabletop Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",299,499,40,4,Computers & Accessories
B0B54Y2SNX,https://www.amazon.in/dp/B0B54Y2SNX?th=1&psc=1&language=en_IN,,,,,0,
B09BF8JBWX,https://www.amazon.in/dp/B09BF8JBWX?th=1&psc=1&language=en_IN,Lava A1 Josh (with BOL Feature) Dual Sim Keypad Mobile Phone | Long-Lasting Battery |22 Launguages Read Support | Auto Call Recording | Call Blink Notification (Blue Silver),948,1,32,4,Electronics
B0B298D54H,https://www.amazon.in/dp/B0B298D54H?th=1&psc=1&language=en_IN,Prolet Classic Bumper Case Cover for Samsung Galaxy Watch 4 44mm TPU Plated Full Screen Protector (Black),239,999,76,4,Electronics
B09CTRPSJR,https://www.amazon.in/dp/B09CTRPSJR?th=1&psc=1&language=en_IN,"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor",177,252,30,4,Toys & Games
B08FTFXNNB,https://www.amazon.in/dp/B08FTFXNNB?th=1&psc=1&language=en_IN,"HP w100 480P 30 FPS Digital Webcam with Built-in Mic, Plug and Play Setup, Wide-Angle View for Video Calling on Skype, Zoom, Microsoft Teams and Other Apps (Black)",,2,1,4,Computers & Accessories
B08MCD9JFY,https://www.amazon.in/dp/B08MCD9JFY?th=1&psc=1&language=en_IN,"Tygot 10 Inches Big LED Ring Light for Camera, Phone tiktok YouTube Video Shooting and Makeup, 10"" inch Ring Light with 7 Feet Long Foldable and Lightweight Tripod Stand",549,1,73,4,Electronics
B079Y6JZC8,https://www.amazon.in/dp/B079Y6JZC8?th=1&psc=1&language=en_IN,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",99,199,50,4,Computers & Accessories
B08CF4SCNP,https://www.amazon.in/dp/B08CF4SCNP?th=1&psc=1&language=en_IN,"Quantum QHM-7406 Full-Sized Keyboard with (₹) Rupee Symbol, Hotkeys and 3-pieces LED function for Desktop/Laptop/Smart TV Spill-Resistant Wired USB Keyboard with 10 million keystrokes lifespan (Black)",,,,4,Computers & Accessories
B09PL79D2X,https://www.amazon.in/dp/B09PL79D2X?th=1&psc=1&language=en_IN,"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx Tech, Beast Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Cool Grey)",,,,4,Electronics
B08TDJNM3G,https://www.amazon.in/dp/B08TDJNM3G?th=1&psc=1&language=en_IN,"E-COSMOS Plastic Plug in LED Night Light Mini USB LED Light Flexible USB LED Ambient Light Mini USB LED Light, LED Portable Car Bulb, Indoor, Outdoor, Reading, Sleep (4 Pcs),Multicolour",148,199,26,4,Computers & Accessories
B085194JFL,https://www.amazon.in/dp/B085194JFL?th=1&psc=1&language=en_IN,"AirCase Tizum Hdmi to Vga Adapter/Connector/Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer, Laptop, Tv & More | Full Hd Resolution | Compact Design | Black",322,499,35,4,Computers & Accessories
B08K4PSZ3V,https://www.amazon.in/dp/B08K4PSZ3V?th=1&psc=1&language=en_IN,"Tukzer Universal Stylus Pen for Smartphone/Tablet/iPad/Pro/Air/iPhone/iOS/Android/All Touch Screens Devices| Fine Point Disc Tip, Lightweight Aluminum Body Magnetic Cap Drawing Writing (Grey)",259,999,74,4,Electronics
B09P564ZTJ,https://www.amazon.in/dp/B09P564ZTJ?th=1&psc=1&language=en_IN,"Wembley LCD Writing Pad/Tab | Writing, Drawing, Reusable, Portable Pad with Colorful Letters | 9 Inch Graphic Tablet (Assorted Dinosaur)",749,1,53,4,Toys & Games
B07MSLTW8Z,https://www.amazon.in/dp/B07MSLTW8Z?th=1&psc=1&language=en_IN,"Gizga Essentials Foldable Laptop and Study Table for Student and Kids with Cup, Tablet and Mac Holder |Office Table | Bed Table| Breakfast Table, Portable/Ergonomic & Round Edges/Non-Slip Legs, Black",,,,4,Computers & Accessories
B098R25TGC,https://www.amazon.in/dp/B098R25TGC?th=1&psc=1&language=en_IN,Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | with Mic | Total 14-Hour Playtime | Full Touch Control | IPX5 Water Resistance and Bluetooth v5.1 (Olive Green),,,,4,Electronics
B07JF9B592,https://www.amazon.in/dp/B07JF9B592?th=1&psc=1&language=en_IN,Maono AU-400 Lavalier Microphone (Black),,,,4,Musical Instruments
B09GFWJDY1,https://www.amazon.in/dp/B09GFWJDY1?th=1&psc=1&language=en_IN,"ZEBRONICS Zeb-Evolve Wireless in Ear Neckband Earphone with Supporting Bluetooth v5.0, Voice Assistant, Rapid Charge, Call Function & Magnetic Earpiece, with mic (Metallic Blue)",,,,4,Electronics
B08KHM9VBJ,https://www.amazon.in/dp/B08KHM9VBJ?th=1&psc=1&language=en_IN,"Airtel DigitalTV AMF-311WW Data Card Single_Band 150 Mbps (Black), 4g Hotspot Support with 2300 Mah Battery",,,,4,Computers & Accessories
B09SGGRKV8,https://www.amazon.in/dp/B09SGGRKV8?th=1&psc=1&language=en_IN,"Zebronics Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(Red)",199,499,60,4,Electronics
B09X76VL5L,https://www.amazon.in/dp/B09X76VL5L?th=1&psc=1&language=en_IN,"boAt Airdopes 191G True Wireless In Ear Earbuds with ENx Tech Equipped Quad Mics, Beast Mode(Low Latency- 65ms) for Gaming, 2x6mm Dual Drivers, 30H Playtime, IPX5, IWP, Appealing Case LEDs(Sport Blue)",,,,4,Electronics
B09NNHFSSF,https://www.amazon.in/dp/B09NNHFSSF?th=1&psc=1&language=en_IN,"CP PLUS 2MP Full HD Smart Wi-fi CCTV Home Security Camera | 360° with Pan Tilt | 2Way Talk | Cloud Monitor | Motion Detect | Night Vision | Supports SD Card (Upto 128 GB), Alexa & Ok Google | CP-E21A",,5,74,4,Electronics
B09YLFHFDW,https://www.amazon.in/dp/B09YLFHFDW?th=1&psc=1&language=en_IN,"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Black)",,2,46,4,Electronics
B0814ZY6FP,https://www.amazon.in/dp/B0814ZY6FP?th=1&psc=1&language=en_IN,"Zebronics ZEB-VITA Wireless Bluetooth 10W Portable Bar Speaker With Supporting USB, SD Card, AUX, FM, TWS & Call Function (Black)",899,1,55,4,Electronics
B07GLNJC25,https://www.amazon.in/dp/B07GLNJC25?th=1&psc=1&language=en_IN,"ZEBRONICS Zeb-100HB 4 Ports USB Hub for Laptop, PC Computers, Plug & Play, Backward Compatible - Black",489,1,76,4,Computers & Accessories
B08X77LM8C,https://www.amazon.in/dp/B08X77LM8C?th=1&psc=1&language=en_IN,"Silicone Rubber Earbuds Tips, Eartips, Earpads, Earplugs, for Replacement in Earphones and Bluetooth Medium Size (10 Pcs Black)",199,999,80,4,Electronics
B07L1N3TJX,https://www.amazon.in/dp/B07L1N3TJX?th=1&psc=1&language=en_IN,"Artis AR-45W-MG2 45 Watts MG2 Laptop Adapter/Charger Compatible with MB Air 13” & MB Air 11” (14.5 V, 3.1 A) Connector: MG2 (T Tip Connector)",,3,51,3,Computers & Accessories
B08TDJ5BVF,https://www.amazon.in/dp/B08TDJ5BVF?th=1&psc=1&language=en_IN,"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colours May Vary, Small, EC-POF1, Plastic), Corded Electric",,,,4,Computers & Accessories
B00URH5E34,https://www.amazon.in/dp/B00URH5E34?th=1&psc=1&language=en_IN,,,,,0,
B08S74GTBT,https://www.amazon.in/dp/B08S74GTBT?th=1&psc=1&language=en_IN,"Zebronics Astra 10 Portable Wireless BT v5.0 Speaker, 10W RMS Power, 15* Hours Backup, 2.25"" Drive Size, up to 6.4"" Mobile Holder Support, Carry Handle, USB, mSD, AUX Input and FM Radio, Grey",,,,4,Electronics
B0141EZMAI,https://www.amazon.in/dp/B0141EZMAI?th=1&psc=1&language=en_IN,"AirCase USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",,,,4,Computers & Accessories
B00H47GVGY,https://www.amazon.in/dp/B00H47GVGY?th=1&psc=1&language=en_IN,"USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts)",,1,32,3,Home & Kitchen
B0B61DSF17,https://www.amazon.in/dp/B0B61DSF17?th=1&psc=1&language=en_IN,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back Light LCD Display | White | 10 Kg | 2 Year Warranty,299,1,85,4,Home & Kitchen
B00NW4UWN6,https://www.amazon.in/dp/B00NW4UWN6?th=1&psc=1&language=en_IN,Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),799,1,48,4,Home & Kitchen
B096YCN3SD,https://www.amazon.in/dp/B096YCN3SD?th=1&psc=1&language=en_IN,"Lifelong ISI Certified Electric Kettle 1.5L with Stainless Steel Body, Easy and Fast Boiling of Water for Instant Noodles, Soup, Tea etc. (1 Year Manufacturer's Warranty, Silver, LLEK15) 1500 W",499,1,50,4,Home & Kitchen
B09LQH3SD9,https://www.amazon.in/dp/B09LQH3SD9?th=1&psc=1&language=en_IN,"Lifelong Regalia 800 Watts Quartz Room Heater for Home with 2 Power settings, ISI Certified, 2 Rod Heater for Room |Cord Length 1.5 Meter| 1 Year Manufacturer's Warranty (LLQH922, White)",,,,4,Home & Kitchen
B09Y5FZK9N,https://www.amazon.in/dp/B09Y5FZK9N?th=1&psc=1&language=en_IN,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup with Auto Shut- off Feature",649,1,58,4,Home & Kitchen
B078KRFWQB,https://www.amazon.in/dp/B078KRFWQB?th=1&psc=1&language=en_IN,"Havells Cista Room Heater, White, 2000 Watts",,3,47,4,Home & Kitchen
B0832W3B7Q,https://www.amazon.in/dp/B0832W3B7Q?th=1&psc=1&language=en_IN,"Pigeon By Stovekraft 14429 Acer Plus 1800 Watt Induction Cooktop with Feather Touch Control, Induction Stove comes with 8 Preset Menus and Auto-Shut Off features (Black)",,3,56,4,Home & Kitchen
B0BGPN4GGH,https://www.amazon.in/dp/B0BGPN4GGH?th=1&psc=1&language=en_IN,"Lifelong Dyno 800 Watts Quartz Room Heater for Home with 2 Power settings, ISI Certified, 2 Rod Heater for Room |Cord Length 1.5 Meter| 1 Year Manufacturer's Warranty (LLQH925, Grey)",799,2,67,4,Home & Kitchen
B09LV1CMGH,https://www.amazon.in/dp/B09LV1CMGH?th=1&psc=1&language=en_IN,"Lifelong 2000 Watt Room Heater for Home with 3 Air Setting & ISI Certified, Portable Electric Blower Heater, Room Heater for Bedroom & Office - 1 Year Manufacturer's Warranty (LLFH921, White)",,2,47,4,Home & Kitchen
