product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
Croma 84 Litres 2 Star Direct Cool Single Door Refrigerator with Reversible Door ( Grey ,1.9,15,9990,12000,2010,17% Off
"Whirlpool Icemagic Pro 192 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (72568, Steel ",3.8,10,15590,19530,3940,20% Off
"Haier 190 Litres 5 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (HRD2105BISP, Inox Steel ",3.7,3,17990,24690,6700,27% Off
"SAMSUNG Horizontal Curve 189 Litres 5 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR21C2H25DX/HL, Luxe Brown ",4.9,8,19800,23999,4199,18% Off
Croma 183 Litres 2 Star Direct Cool Single Door Refrigerator with AntiFungal Door Gasket ( Rosalind Wine ,3.4,15,12490,16000,3510,22% Off
Croma 215 Litres 3 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket ( Criss Cross Metallic Grey ,3.8,19,15690,20000,4310,22% Off
"SAMSUNG Stylish Grande 223 Litres3 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR24D2Z23CU/NL, Camellia Blue ",1,1,18990,25999,7009,27% Off
"Haier 190 Litres 3 Star Direct Cool Single Door Refrigerator with Diamond Edge Freezing Technology (HRD2103CBSP, Brushline Silver ",2.9,10,15790,21590,5800,27% Off
"SAMSUNG Stylish Grande 183 Litres4 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20C1724CR/HL, Camellia Purple ",2.7,3,15690,21999,6309,29% Off
"Haier 190 Litres 2 Star Direct Cool Single Door Refrigerator with Diamond Edge Freezing Technology (HRD2102BNSP, Nickel Steel ",2,1,13490,19090,5600,29% Off
Croma 165 Litres 2 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket ( PCM Floral ,3.1,18,11990,13500,1510,11% Off
"SAMSUNG Horizontal Curve 189 Litres 5 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR21D2H259U/HL, Paradise Bloom Blue ",4.7,3,17990,21999,4009,18% Off
"Croma 251 Litres 4 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket (CRLR251DIE302704, Blue ",4.3,9,19990,24000,4010,17% Off
Croma 165 Litres 2 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket ( Criss Cross Metallic Grey ,4,5,12290,13500,1210,9% Off
"Whirlpool Icemagic Powercool 184 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (72511, Steel ",3,2,14490,18210,3720,20% Off
"SAMSUNG Stylish Grande 183 Litres 5 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20D2825HV/NL, Blue Arctic ",1,1,17490,22999,5509,24% Off
"LG 185 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (GLB201APZD, Shiny Steel ",4.6,5,16190,19599,3409,17% Off
Croma 185 Litres 2 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket ( Criss Cross Metallic Grey ,4.4,7,12990,16000,3010,19% Off
"Whirlpool Vitamagic Pro 192 Litres 3 Star Direct Cool Single Door Refrigerator with Zeolite Technology (73131, Grey ",1,1,17590,21200,3610,17% Off
"SAMSUNG DigiTouch Cool 215 Litres 3 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR23D2E23UZ/HL, Midnight Blossom Blue ",5,1,16990,27999,11009,39% Off
"Tropicool PortaChill 5 Litres Single Door Car Portable Chiller and Warmer (Heating and Cooling Function, PC05, Black ",3.1,5,4949,5300,351,7% Off
"SAMSUNG Stylish Grande 223 Litres3 Star Direct Cool Single Door Refrigerator with Base Stand Drawer (RR24C2823CU/NL, Camellia Blue ",4.9,7,22100,25999,3899,15% Off
"Whirlpool IMPRO 192 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (215 IMPRO ROY, Purple ",5,3,17390,21520,4130,19% Off
"Whirlpool Vitamagic Pro 192 Litres 3 Star Direct Cool Single Door Refrigerator with Zeolite Technology (73132, Grey ",4,1,18990,22350,3360,15% Off
Croma 206 Litres 4 Star Direct Cool Single Door Refrigerator with Inverter Compressor ( Blue ,5,2,17690,24000,6310,26% Off
"SAMSUNG Horizontal Curve 215 Litres 5 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR23D2H359U/HL, Paradise Bloom Blue ",5,1,19990,30999,11009,36% Off
"Haier 215 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (HED223RFBP, Red Opal ",3,2,16990,24990,8000,32% Off
"Croma 45 Litres 2 Star Direct Cool Single Door Refrigerator with AntiFungal Door Gasket (2025 Model, CRLR045DCC290113, Metallic Grey ",2.5,2,8790,11000,2210,20% Off
"SAMSUNG Stylish Grande 183 Litres3 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20C1723S8/HL, Elegant Inox ",4.4,8,15290,18999,3709,20% Off
"SAMSUNG Stylish Grande 183 Litres 5 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20D2825HN/NL, Himalaya Poppy Red ",5,1,17490,22999,5509,24% Off
"SAMSUNG Stylish Grande 183 Litres4 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20C1724CU/HL, Camellia Blue ",3.1,17,15690,21999,6309,29% Off
"SAMSUNG Stylish Grande 183 Litres4 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (RR20C1824CR/HL, Camellia Purple ",4,11,16390,22999,6609,29% Off
"SAMSUNG Stylish Grande 183 Litres3 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20C1723R8/HL, Blooming Saffron Red ",3.3,3,15490,19999,4509,23% Off
"Haier 190 Litres 4 Star Direct Cool Single Door Refrigerator with Antibacterial Gasket (HED204DSP, Dazzle Steel ",3,2,13990,20990,7000,33% Off
"SAMSUNG Stylish Grande 183 Litres 2 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (RR20C2412GS/NL, Grey Silver ",2.3,3,14190,17999,3809,21% Off
"Godrej Qub30 Litres Frost Free Single Door Refrigerator with Solid State Electronic Cooling (TEC QUBE 30L HS Q103, Black ",3.2,6,8040,8250,210,3% Off
"Midea Mini Bar 93 Litres 1 Star Direct Cool Single Door Mini Refrigerator with Reversible Door (MDRD142FGF03, Silver ",1,1,8600,13990,5390,39% Off
"SAMSUNG 215 Litres 5 Star Direct Cool Single Door Refrigerator with DigiTouch Cool (RR23C2F35DX/HL, Luxe Brown ",3,4,19000,27999,8999,32% Off
"SAMSUNG 189 Litres 5 Star Direct Cool Single Door Refrigerator (RR21C2H25S8/HL, Elegant Inox ",5,3,16400,25999,9599,37% Off
"Midea 45 Litres 3 Star Direct Cool Single Door Mini Refrigerator with Reversible Door (MDRD86FGE03, Bright Crystal Gray ",4.5,2,7490,11490,4000,35% Off
"LG 261 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (GLB281BPZX.DPZZEB, Shiny Steel ",4.8,8,25590,30399,4809,16% Off
"SAMSUNG 223 Litres 3 Star Direct Cool Single Door Refrigerator (RR24C2Y23S8/NL, Elegant Inox ",3,2,15850,22999,7149,31% Off
"VOLTAS beko 183 Litres 5 Star Direct Cool Single Door Refrigerator with Reciprocating Compressor (RDC215A / W0VWR0M0, Vivi Wine ",4.5,4,13900,29290,15390,53% Off
"Haier 185 Litres 2 Star Direct Cool Single Door Refrigerator with Antibacterial Gasket (HED192RSP, Red Steel ",4,1,11500,16990,5490,32% Off
"SAMSUNG 183 Litres 2 Star Direct Cool Single Door Refrigerator with Base Drawer (RR20C2Z226U/NL, Mystic Overlay Blue ",5,1,13900,19999,6099,31% Off
